Lon	Lat	HP	AN1_Curie	AN1_Moho	AN1_LAB
-2500000.00	1250000.00	0.23	22.50	24.00	161.00
-2500000.00	1300000.00	0.47	22.00	25.00	146.00
-2500000.00	1400000.00	0.71	20.10	23.00	78.00
-2500000.00	1450000.00	0.77	19.30	23.00	70.00
-2500000.00	1500000.00	0.83	18.80	24.00	68.00
-2450000.00	1200000.00	0.47	26.00	23.00	148.00
-2450000.00	1250000.00	3.44	24.90	25.00	147.00
-2450000.00	1300000.00	2.90	25.00	25.00	132.00
-2450000.00	1350000.00	0.81	23.50	23.00	96.00
-2450000.00	1400000.00	0.83	22.10	22.00	79.00
-2450000.00	1450000.00	1.01	20.70	23.00	74.00
-2450000.00	1500000.00	0.72	19.70	24.00	70.00
-2450000.00	1550000.00	0.75	19.60	26.00	68.00
-2400000.00	1100000.00	0.44	33.90	24.00	119.00
-2400000.00	1150000.00	0.47	33.20	23.00	122.00
-2400000.00	1200000.00	0.47	28.70	24.00	126.00
-2400000.00	1250000.00	1.50	26.50	25.00	133.00
-2400000.00	1300000.00	2.06	26.00	24.00	121.00
-2350000.00	950000.00	0.62	25.20	20.00	137.00
-2350000.00	1050000.00	0.47	27.90	25.00	98.00
-2350000.00	1100000.00	0.47	30.80	25.00	95.00
-2350000.00	1150000.00	2.17	31.40	24.00	93.00
-2350000.00	1200000.00	1.69	27.30	24.00	103.00
-2350000.00	1250000.00	2.12	26.10	24.00	113.00
-2350000.00	1300000.00	1.94	25.40	22.00	104.00
-2300000.00	900000.00	2.04	21.60	17.00	137.00
-2300000.00	950000.00	0.72	23.00	21.00	105.00
-2300000.00	1000000.00	2.01	23.90	23.00	94.00
-2300000.00	1050000.00	0.43	24.40	25.00	90.00
-2300000.00	1100000.00	2.16	26.70	25.00	87.00
-2300000.00	1150000.00	2.05	27.90	24.00	85.00
-2300000.00	1200000.00	2.17	26.20	23.00	88.00
-2300000.00	1250000.00	2.17	24.70	22.00	95.00
-2250000.00	950000.00	2.67	21.40	20.00	93.00
-2250000.00	1000000.00	2.23	22.00	26.00	88.00
-2250000.00	1050000.00	1.27	22.70	26.00	82.00
-2250000.00	1100000.00	1.72	24.40	24.00	83.00
-2250000.00	1150000.00	2.09	25.80	23.00	84.00
-2250000.00	1200000.00	2.12	23.80	23.00	89.00
-2250000.00	1250000.00	1.96	23.20	22.00	103.00
-2200000.00	750000.00	1.89	19.30	21.00	87.00
-2200000.00	800000.00	2.23	18.90	20.00	87.00
-2200000.00	950000.00	2.56	21.00	23.00	86.00
-2200000.00	1000000.00	2.23	21.00	29.00	82.00
-2200000.00	1050000.00	2.08	21.50	27.00	81.00
-2200000.00	1100000.00	1.93	22.30	25.00	82.00
-2200000.00	1150000.00	2.05	22.70	23.00	85.00
-2200000.00	1200000.00	2.05	22.10	23.00	101.00
-2200000.00	1250000.00	1.91	22.00	24.00	141.00
-2150000.00	700000.00	1.21	18.50	21.00	84.00
-2150000.00	750000.00	2.46	18.80	22.00	82.00
-2150000.00	900000.00	1.28	22.00	23.00	83.00
-2150000.00	950000.00	2.56	21.60	31.00	80.00
-2150000.00	1000000.00	2.57	20.70	31.00	81.00
-2150000.00	1050000.00	2.41	20.60	28.00	80.00
-2150000.00	1100000.00	2.20	20.90	25.00	82.00
-2150000.00	1150000.00	2.11	21.40	24.00	89.00
-2150000.00	1200000.00	2.04	21.80	25.00	117.00
-2100000.00	550000.00	1.35	17.90	23.00	86.00
-2100000.00	600000.00	1.48	17.40	25.00	82.00
-2100000.00	700000.00	1.14	17.30	25.00	78.00
-2100000.00	750000.00	1.22	18.10	23.00	77.00
-2100000.00	800000.00	1.35	19.60	22.00	77.00
-2100000.00	850000.00	0.97	21.40	27.00	77.00
-2100000.00	900000.00	1.17	22.90	32.00	77.00
-2100000.00	950000.00	2.59	22.00	35.00	78.00
-2100000.00	1000000.00	2.56	20.10	32.00	79.00
-2100000.00	1050000.00	2.44	20.10	28.00	80.00
-2100000.00	1100000.00	2.28	20.60	26.00	84.00
-2100000.00	1150000.00	2.16	21.50	26.00	94.00
-2100000.00	1200000.00	2.06	22.60	26.00	120.00
-2050000.00	600000.00	1.46	18.20	29.00	79.00
-2050000.00	650000.00	1.55	17.60	28.00	76.00
-2050000.00	700000.00	1.26	17.30	29.00	72.00
-2050000.00	750000.00	1.25	18.10	27.00	73.00
-2050000.00	800000.00	1.92	19.70	26.00	75.00
-2050000.00	850000.00	0.97	21.80	31.00	74.00
-2050000.00	900000.00	1.06	22.60	36.00	75.00
-2050000.00	950000.00	2.56	21.60	36.00	77.00
-2050000.00	1000000.00	2.56	20.20	32.00	79.00
-2050000.00	1050000.00	2.24	20.00	28.00	81.00
-2050000.00	1100000.00	2.24	20.50	26.00	86.00
-2050000.00	1150000.00	2.17	22.20	26.00	92.00
-2000000.00	500000.00	0.99	18.80	23.00	80.00
-2000000.00	550000.00	1.09	19.60	28.00	77.00
-2000000.00	600000.00	1.50	19.40	30.00	75.00
-2000000.00	650000.00	1.58	18.60	31.00	70.00
-2000000.00	700000.00	1.44	18.30	31.00	69.00
-2000000.00	750000.00	1.62	18.60	29.00	71.00
-2000000.00	800000.00	1.44	20.00	28.00	73.00
-2000000.00	850000.00	1.51	21.80	32.00	73.00
-2000000.00	900000.00	0.97	22.80	37.00	76.00
-2000000.00	950000.00	2.24	21.80	36.00	77.00
-2000000.00	1000000.00	2.55	20.30	32.00	79.00
-2000000.00	1050000.00	2.29	19.80	27.00	82.00
-2000000.00	1100000.00	2.26	20.90	27.00	86.00
-1950000.00	550000.00	0.87	19.70	28.00	74.00
-1950000.00	600000.00	1.03	19.70	32.00	70.00
-1950000.00	650000.00	1.62	19.30	33.00	67.00
-1950000.00	700000.00	1.62	19.10	32.00	69.00
-1950000.00	750000.00	1.62	19.00	30.00	72.00
-1950000.00	800000.00	2.50	19.50	31.00	72.00
-1950000.00	850000.00	1.30	21.40	35.00	74.00
-1950000.00	900000.00	0.97	22.40	38.00	76.00
-1950000.00	950000.00	2.09	21.70	38.00	78.00
-1950000.00	1000000.00	2.58	20.00	34.00	79.00
-1950000.00	1050000.00	2.48	19.30	29.00	83.00
-1900000.00	500000.00	0.87	19.20	27.00	73.00
-1900000.00	550000.00	0.87	19.70	29.00	72.00
-1900000.00	600000.00	1.23	20.00	32.00	68.00
-1900000.00	650000.00	1.62	19.80	33.00	66.00
-1900000.00	700000.00	1.62	19.80	33.00	70.00
-1900000.00	750000.00	1.48	19.80	32.00	72.00
-1900000.00	800000.00	0.94	20.10	35.00	74.00
-1900000.00	850000.00	0.98	22.20	38.00	76.00
-1900000.00	900000.00	1.02	22.70	39.00	77.00
-1900000.00	950000.00	2.59	22.00	40.00	78.00
-1900000.00	1000000.00	2.44	20.30	36.00	80.00
-1900000.00	1050000.00	2.22	19.30	27.00	89.00
-1850000.00	350000.00	0.84	19.00	26.00	74.00
-1850000.00	400000.00	0.74	19.00	26.00	72.00
-1850000.00	450000.00	0.81	19.10	27.00	71.00
-1850000.00	600000.00	1.61	19.90	32.00	68.00
-1850000.00	650000.00	1.62	20.00	33.00	67.00
-1850000.00	700000.00	1.62	20.50	33.00	69.00
-1850000.00	750000.00	1.21	21.30	35.00	73.00
-1850000.00	800000.00	0.97	21.50	38.00	76.00
-1850000.00	850000.00	0.97	22.40	38.00	76.00
-1850000.00	900000.00	1.02	23.00	39.00	79.00
-1850000.00	950000.00	1.96	22.80	39.00	79.00
-1850000.00	1000000.00	1.50	20.30	32.00	84.00
-1850000.00	1050000.00	1.75	19.90	26.00	91.00
-1800000.00	300000.00	1.15	19.10	26.00	72.00
-1800000.00	350000.00	0.78	19.00	26.00	72.00
-1800000.00	400000.00	0.62	19.00	27.00	71.00
-1800000.00	450000.00	0.79	19.00	29.00	71.00
-1800000.00	600000.00	1.60	19.70	33.00	68.00
-1800000.00	650000.00	1.62	20.10	33.00	67.00
-1800000.00	700000.00	1.42	21.00	34.00	69.00
-1800000.00	750000.00	1.05	22.00	38.00	75.00
-1800000.00	800000.00	0.97	22.00	39.00	76.00
-1800000.00	850000.00	0.94	22.80	39.00	78.00
-1800000.00	900000.00	2.12	23.10	40.00	80.00
-1800000.00	950000.00	1.43	22.00	36.00	82.00
-1800000.00	1000000.00	1.43	20.10	27.00	88.00
-1800000.00	1050000.00	1.49	20.70	27.00	91.00
-1750000.00	300000.00	1.42	19.20	26.00	70.00
-1750000.00	350000.00	0.97	19.00	26.00	70.00
-1750000.00	400000.00	0.54	18.90	28.00	71.00
-1750000.00	450000.00	0.87	18.90	33.00	70.00
-1750000.00	500000.00	0.99	19.00	33.00	70.00
-1750000.00	550000.00	1.11	19.40	34.00	71.00
-1750000.00	600000.00	1.16	20.00	36.00	69.00
-1750000.00	650000.00	1.19	20.00	35.00	70.00
-1750000.00	700000.00	1.06	21.00	37.00	74.00
-1750000.00	750000.00	0.97	21.90	39.00	77.00
-1750000.00	800000.00	0.97	22.60	39.00	79.00
-1750000.00	850000.00	0.97	23.30	40.00	81.00
-1750000.00	900000.00	1.18	23.40	38.00	81.00
-1750000.00	950000.00	1.43	21.60	30.00	84.00
-1750000.00	1000000.00	1.09	21.10	27.00	88.00
-1700000.00	300000.00	2.03	18.90	26.00	68.00
-1700000.00	350000.00	1.06	18.90	26.00	71.00
-1700000.00	400000.00	0.97	19.00	27.00	72.00
-1700000.00	450000.00	0.97	18.90	32.00	71.00
-1700000.00	500000.00	0.97	19.40	35.00	72.00
-1700000.00	550000.00	0.97	20.40	38.00	72.00
-1700000.00	600000.00	0.97	20.70	38.00	71.00
-1700000.00	650000.00	0.97	21.00	37.00	75.00
-1700000.00	700000.00	0.97	21.70	38.00	78.00
-1700000.00	750000.00	0.97	22.00	39.00	80.00
-1700000.00	800000.00	0.97	23.10	40.00	82.00
-1700000.00	850000.00	0.97	23.50	40.00	83.00
-1700000.00	900000.00	1.88	22.50	32.00	83.00
-1700000.00	950000.00	2.02	21.30	27.00	85.00
-1650000.00	300000.00	2.58	18.40	26.00	67.00
-1650000.00	350000.00	2.57	18.80	25.00	73.00
-1650000.00	400000.00	1.14	19.00	26.00	74.00
-1650000.00	450000.00	0.97	19.70	32.00	74.00
-1650000.00	500000.00	0.97	20.70	37.00	77.00
-1650000.00	550000.00	0.97	21.70	38.00	76.00
-1650000.00	600000.00	0.97	21.70	38.00	76.00
-1650000.00	650000.00	0.97	22.40	38.00	79.00
-1650000.00	700000.00	0.97	22.50	39.00	80.00
-1650000.00	750000.00	0.97	22.90	39.00	84.00
-1650000.00	800000.00	1.14	23.50	40.00	85.00
-1650000.00	850000.00	1.91	23.40	36.00	85.00
-1650000.00	900000.00	2.06	21.50	28.00	85.00
-1650000.00	950000.00	2.01	21.70	27.00	86.00
-1600000.00	300000.00	2.66	18.10	25.00	71.00
-1600000.00	350000.00	2.60	19.00	25.00	76.00
-1600000.00	400000.00	2.56	19.00	28.00	77.00
-1600000.00	450000.00	2.56	21.30	35.00	79.00
-1600000.00	500000.00	2.57	22.20	38.00	81.00
-1600000.00	550000.00	1.37	22.60	38.00	79.00
-1600000.00	600000.00	0.97	22.90	37.00	80.00
-1600000.00	650000.00	0.97	23.30	37.00	81.00
-1600000.00	700000.00	0.97	23.30	39.00	85.00
-1600000.00	750000.00	2.06	23.70	40.00	88.00
-1600000.00	800000.00	2.02	23.00	38.00	87.00
-1600000.00	850000.00	1.91	21.80	30.00	87.00
-1600000.00	900000.00	2.02	21.20	27.00	87.00
-1550000.00	300000.00	2.64	18.20	25.00	76.00
-1550000.00	350000.00	2.58	19.10	25.00	77.00
-1550000.00	400000.00	2.54	20.30	31.00	83.00
-1550000.00	450000.00	2.56	22.60	36.00	84.00
-1550000.00	500000.00	2.00	23.10	37.00	84.00
-1550000.00	550000.00	2.56	23.50	38.00	84.00
-1550000.00	600000.00	2.56	23.70	37.00	84.00
-1550000.00	650000.00	2.56	24.00	37.00	84.00
-1550000.00	700000.00	2.56	24.30	39.00	90.00
-1550000.00	750000.00	1.56	23.90	39.00	89.00
-1550000.00	800000.00	1.96	22.10	33.00	90.00
-1550000.00	850000.00	2.02	20.70	28.00	88.00
-1500000.00	300000.00	2.59	18.30	25.00	81.00
-1500000.00	350000.00	2.48	19.50	26.00	84.00
-1500000.00	400000.00	2.29	21.80	32.00	88.00
-1500000.00	450000.00	2.02	23.00	36.00	88.00
-1500000.00	500000.00	2.02	23.80	38.00	88.00
-1500000.00	550000.00	2.02	24.30	38.00	88.00
-1500000.00	600000.00	2.02	24.40	36.00	88.00
-1500000.00	650000.00	2.02	24.90	35.00	91.00
-1500000.00	700000.00	2.02	25.20	37.00	92.00
-1500000.00	750000.00	2.02	23.80	35.00	93.00
-1500000.00	800000.00	2.02	22.00	30.00	92.00
-1500000.00	850000.00	2.02	21.50	29.00	92.00
-1450000.00	300000.00	2.54	18.80	25.00	88.00
-1450000.00	350000.00	2.41	20.70	27.00	92.00
-1450000.00	400000.00	2.23	22.60	32.00	92.00
-1450000.00	450000.00	2.05	23.40	35.00	93.00
-1450000.00	500000.00	2.02	24.70	37.00	93.00
-1450000.00	550000.00	2.02	24.80	37.00	92.00
-1450000.00	600000.00	2.02	25.30	33.00	95.00
-1450000.00	650000.00	2.02	25.70	33.00	96.00
-1450000.00	700000.00	2.02	25.30	33.00	95.00
-1450000.00	750000.00	2.02	23.80	31.00	96.00
-1450000.00	800000.00	2.03	22.10	29.00	94.00
